Title,Address,Link
Architect-Construction Administration-Revit | Multi Family Residential,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Downtown)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-architect-construction/7059565287.html
Project Architect(s),"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Jamaica, Queens)'>]",https://newyork.craigslist.org/que/egr/d/project-architects/7059531617.html
Junior Architect/ Intern,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Lower East Side)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-junior-architect-intern/7059436981.html
Midsize Architectural firm seeks Graduates,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Flushing)'>]",https://newyork.craigslist.org/que/egr/d/flushing-midsize-architectural-firm/7059372984.html
Millwork Engineer / CNC Programmer,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Brooklyn)'>]",https://newyork.craigslist.org/brk/egr/d/brooklyn-millwork-engineer-cnc/7059316143.html
Millwork Estimator,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Brooklyn, NY)'>]",https://newyork.craigslist.org/brk/egr/d/brooklyn-millwork-estimator/7059296582.html
SPANISH SPEAKING NAIL STYLIST NEEDED  (MANICURES&PEDICURES),"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Inwood / Wash Hts)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-city-spanish-speaking-nail/7059197113.html
Drafter/Estimator Experienced in steel fabrication,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (college point queens)'>]",https://newyork.craigslist.org/que/egr/d/flushing-drafter-estimator-experienced/7058453556.html
Top Architectural Metal  + Glass Company looking for drafter/engineer!,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Woodside)'>]",https://newyork.craigslist.org/que/egr/d/woodside-top-architectural-metal-glass/7058321558.html
Construction Plans Estimator,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Stamford)'>]",https://newyork.craigslist.org/fct/egr/d/stamford-construction-plans-estimator/7058209698.html
Facade / Building Envelope Architect or Engineer,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (TriBeCa)'>]",https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-architect-or/7058077980.html
Facade / Building Envelope Project Manager,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (TriBeCa)'>]",https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-project-manager/7058072439.html
Project Manager Assistant  / Office Manager Assistant,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Brooklyn)'>]",https://newyork.craigslist.org/brk/egr/d/brooklyn-project-manager-assistant/7058063076.html
In-house Interior Designer,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Murray Hill)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-in-house-interior-designer/7058060220.html
Interior Designer,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Murray Hill)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-interior-designer/7058057923.html
High End Kitchen Designer,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Murray Hill)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-high-end-kitchen-designer/7058054892.html
Superintendent - Construction,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Brooklyn)'>]",https://newyork.craigslist.org/brk/egr/d/brooklyn-superintendent-construction/7058003819.html
Electrical Engineer,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Midtown West)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-electrical-engineer/7057984592.html
Engineer - Architect - Inspector,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Midtown West)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-engineer-architect-inspector/7057976104.html
"Architect, Intermediate","[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (New York and Brooklyn)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-architect-intermediate/7057960292.html
Construction Estimator,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (NYC)'>]",https://newyork.craigslist.org/que/egr/d/construction-estimator/7057938072.html
General Contractor - Estimator Wanted Immediately,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Staten Island)'>]",https://newyork.craigslist.org/stn/egr/d/staten-island-general-contractor/7057897320.html
ARCHITECT Senior/ Intermediate,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (QUEENS)'>]",https://newyork.craigslist.org/que/egr/d/bayside-architect-senior-intermediate/7057881026.html
Engineering/Architectural CAD Operator,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Staten Island)'>]",https://newyork.craigslist.org/stn/egr/d/staten-island-engineering-architectural/7057870003.html
Career Opportunities in Engineering for Immigrant Professionals,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (New York)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-career-opportunities-in/7057792523.html
Architecture Project Manager,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Williamsburg, Brooklyn)'>]",https://newyork.craigslist.org/brk/egr/d/brooklyn-architecture-project-manager/7057770577.html
